s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
155.8422837, 89629.8388474, 43169.1614214, 0.7372779, -0.0107473, 15.7489717, -10.9210428
156.8412727, 89629.1513025, 43169.9250665, 0.7300251, -0.0031938, 15.0402828, -10.4182946
157.8402616, 89628.4907413, 43170.6634574, 0.7310852, 0.0057271, 14.3315938, -9.9370425
158.8392506, 89627.8413370, 43171.3807889, 0.7430485, 0.0231866, 13.6213285, -9.4701333
159.8382396, 89627.1680592, 43172.0904591, 0.7795630, 0.0500526, 12.9081165, -8.9609472
160.8372286, 89626.4438747, 43172.7833965, 0.8372678, 0.0616823, 12.1949045, -7.3566595
161.8362176, 89625.6949428, 43173.4213726, 0.8875370, 0.0317915, 11.5765821, -6.4769639
162.8352066, 89624.9134488, 43174.0442948, 0.9030287, 0.0009377, 11.0034732, -6.1481776
163.8341956, 89624.1125605, 43174.6812747, 0.8901625, -0.0262813, 10.4303642, -6.4241769
164.8331846, 89623.3084105, 43175.3576724, 0.8488537, -0.0494839, 9.7957712, -6.4308713
165.8321736, 89622.5548434, 43176.0617060, 0.7852976, -0.0763716, 9.1163806, -5.9688325
166.8311626, 89621.9092174, 43176.7651859, 0.6923232, -0.1237337, 8.4369899, -5.6829317
167.8301516, 89621.3193603, 43177.5919767, 0.5416173, -0.1590551, 7.7348837, -5.2614214
168.8291406, 89620.8796692, 43178.4701990, 0.3893921, -0.1427041, 7.0225509, -3.3456149
169.8281296, 89620.5721721, 43179.3761969, 0.2657662, -0.1427417, 6.5292999, -1.2779753
170.8271186, 89620.3899038, 43180.3441332, 0.0987441, -0.1892662, 6.3307496, -1.0204079
171.8261076, 89620.3871062, 43181.3386458, -0.0921416, -0.1825982, 6.1676282, -0.4522483
172.8250966, 89620.5558307, 43182.2881135, -0.2558852, -0.1593403, 6.0939360, -0.4468123
173.8240856, 89620.8976871, 43183.2668268, -0.4140740, -0.1469197, 6.0202437, 0.4750394
