s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
126.7175370, 89646.4126224, 43146.0632739, 0.2494286, 0.0726456, 8.5887282, 2.5012262
127.7153129, 89646.1320464, 43147.0190669, 0.3217686, 0.0734652, 8.8745467, 3.0260042
128.7130888, 89645.7765177, 43147.9702995, 0.3919787, 0.0640925, 9.2084813, 3.1435116
129.7108647, 89645.3682962, 43148.8795244, 0.4500067, 0.0519418, 9.5430167, 3.2556750
130.7086406, 89644.9201750, 43149.7544965, 0.4943597, 0.0380264, 9.8775521, 3.8968969
131.7064165, 89644.4304173, 43150.6258640, 0.5288663, 0.0319358, 10.2636492, 4.1196157
132.7041923, 89643.9145788, 43151.4788896, 0.5579637, 0.0263410, 10.6566130, 4.2743805
133.7019682, 89643.3777352, 43152.3162989, 0.5811863, 0.0202938, 11.0495769, 4.0678310
134.6997441, 89642.8232112, 43153.1435273, 0.5992731, 0.0163270, 11.4109910, 4.1431261
135.6975200, 89642.2542810, 43153.9630806, 0.6137706, 0.0127450, 11.7676905, 4.2706442
136.6952959, 89641.6741386, 43154.7764878, 0.6247348, 0.0092112, 12.1243899, 4.0810984
137.6930718, 89641.0875320, 43155.5828423, 0.6328260, 0.0072356, 12.4557165, 4.1372244
138.6908476, 89640.4948507, 43156.3853071, 0.6391881, 0.0055206, 12.7828369, 4.2444707
139.6886235, 89639.8971595, 43157.1852929, 0.6438477, 0.0038134, 13.1099573, 4.0828821
140.6863994, 89639.2971695, 43157.9817126, 0.6474528, 0.0036752, 13.4171004, 4.1232042
141.6841753, 89638.6939684, 43158.7763152, 0.6512042, 0.0038456, 13.7203006, 4.2153395
142.6819512, 89638.0871559, 43159.5693363, 0.6551294, 0.0040160, 14.0235009, 4.0742425
143.6797270, 89637.4780488, 43160.3586529, 0.6595118, 0.0049184, 14.3104486, 4.0986242
144.6775029, 89636.8648091, 43161.1453162, 0.6649536, 0.0059911, 14.5934217, 4.1788764
145.6752788, 89636.2461041, 43161.9292784, 0.6714678, 0.0070519, 14.8763947, 4.0489168
146.6730547, 89635.6227923, 43162.7076968, 0.6791591, 0.0084583, 15.1455255, 4.0549371
147.6708306, 89634.9927033, 43163.4811124, 0.6883542, 0.0099767, 15.4103465, 4.1252236
148.6686065, 89634.3543230, 43164.2489620, 0.6990767, 0.0114998, 15.6751676, 3.5535916
149.6663823, 89633.7089538, 43165.0075831, 0.7106607, 0.0112387, 15.8997564, 3.3387318
150.6641582, 89633.0549063, 43165.7592136, 0.7213441, 0.0101981, 16.1079131, 3.3821576
151.6619341, 89632.3910874, 43166.5065822, 0.7309990, 0.0091142, 16.3160699, 0.0084303
152.6597100, 89631.7188849, 43167.2498690, 0.7388355, 0.0057184, 16.3165854, -1.8717180
