s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
306.2155358, 89676.2917915, 43150.4556797, 2.2165878, -0.1174010, 9.6512425, 0.6278888
307.2129805, 89675.4469497, 43149.8948945, 2.0972193, -0.1136550, 9.7159174, 0.8285785
308.2104252, 89674.5346120, 43149.4299465, 1.9897360, -0.0976603, 9.8006108, 2.1692915
309.2078700, 89673.6077488, 43149.0684764, 1.8966943, -0.0908391, 10.0189555, 2.4110866
310.2053147, 89672.6586823, 43148.7944973, 1.8076442, -0.0837920, 10.2561845, 2.6928982
311.2027595, 89671.6582680, 43148.5910221, 1.7431511, -0.0374259, 10.5148160, 4.7817436
312.2002042, 89670.7101750, 43148.4335662, 1.7386362, 0.0312883, 10.9590330, 4.7370294
313.1976490, 89669.7834341, 43148.2597472, 1.7696453, 0.0157534, 11.3820145, 4.6927332
314.1950937, 89668.8175762, 43148.0636661, 1.7668607, -0.0184715, 11.7860824, 4.6488512
315.1925384, 89667.8134688, 43147.8773830, 1.7402845, -0.0239954, 12.1731542, 4.6053796
316.1899832, 89666.8650122, 43147.7237738, 1.7246403, -0.0100453, 12.5448359, -9.8500576
317.1874279, 89665.8543333, 43147.5706255, 1.7192542, -0.0009989, 11.7355499, -11.3781961
318.1848727, 89664.8184387, 43147.4147902, 1.7225719, 0.0100933, 10.7249656, -8.4918075
